episode, reward
0, -216.5708560274855
1, -220.9076117015856
2, -236.04778509808364
3, -109.54598288989804
4, -43.76529008144196
5, -153.1643652458068
6, -57.30322595227039
7, -158.8141249034867
8, -150.21624742177514
9, -205.75487364630283
10, -168.66381625750472
11, -45.01792377691131
12, -96.51042172331563
13, -73.73486943826701
14, -25.144347715046752
15, -43.870913865137766
16, -63.873711033266574
17, -144.3598060432237
18, -159.32649072906094
19, -190.00384991445137
20, -98.82758736749044
21, -65.70364281098361
22, -60.67110675042592
23, -37.55613238504902
24, -39.845174205964575
25, -92.58502735650158
26, -51.35806913822722
27, -50.44846905283649
28, -88.15254011282606
29, -67.42268859177139
30, -60.13600000696714
31, -37.406515418680556
32, -74.03033503942265
33, -42.497681799779414
34, -33.16485051374542
35, -54.857173519813855
36, -27.14518718807789
37, -27.14518718807789
38, -71.31745130435041
39, -77.21516113394335
40, -115.46025897548523
41, -27.14518718807789
42, -50.81512832679528
43, -51.59808800705612
44, -64.44752007187596
45, -34.644693953759635
46, -53.14485106326429
47, -23.557577723717188
48, -35.9411663732803
49, -48.1842398437026
50, -39.3735968947464
51, -36.5764063269375
52, -22.763098913085585
53, -35.71834844192283
54, -41.408093811423015
55, -44.680152379253926
56, -41.66540938510399
57, -44.586148454537636
58, -27.14518718807789
59, -25.76047411821084
60, -47.53565863563268
61, -24.91024678851358
62, -27.079926685024354
63, -34.772631170798725
64, -30.903255882194234
65, -26.6887412176905
66, -23.911877485274278
67, -26.13955954424007
68, -27.318665098395492
69, -27.63354190790516
70, -25.03679632625124
71, -40.557525345138586
72, -33.01131524554689
73, -22.679463272388148
74, -23.321157080797754
75, -31.248085356999642
76, -41.553867315423645
77, -22.647840834475574
78, -28.575032524375505
79, -34.90173557121097
80, -33.73447400274582
81, -21.942940192731303
82, -23.791111450356297
83, -27.992296516573127
84, -20.715972054265357
85, -63.55083964060154
86, -25.184173582413703
87, -73.11912061009927
88, -20.71566274023224
89, -29.18303746404699
90, -31.603200766323926
91, -31.92413190383531
92, -28.871341637964473
93, -28.59652539953673
94, -24.636941878521416
95, -30.365542720305267
96, -25.40636399664092
97, -23.16500516019781
98, -21.447419356272402
99, -29.58632566714438
100, -27.23311194343652
101, -54.92010163790255
102, -25.728703658660198
103, -26.224619800606806
104, -23.622597775319207
105, -52.29404485686456
106, -29.5851784329937
107, -25.728703658660198
108, -46.38678563883539
109, -28.670703134088143
110, -23.833971127399437
111, -31.139593071903327
112, -26.456948694599415
113, -26.812718531760204
114, -32.56064734353941
115, -25.558208926021443
116, -50.013483692364474
117, -22.25601840467159
118, -37.39936410706402
119, -34.275427882082575
120, -26.758301623839678
121, -32.37531428158398
122, -32.76032293040719
123, -21.7077387535112
124, -30.108537078157354
125, -31.301614859904653
126, -33.26397124864868
127, -29.37284629882229
128, -20.786318035022923
129, -25.889725866648217
130, -28.650266702874532
131, -36.582261770636535
132, -28.43277597724158
133, -38.852581855612016
134, -29.407228929798848
135, -38.762453638809525
136, -30.48061843510194
137, -26.366280534129356
138, -22.04209519458542
139, -36.55120820324465
140, -42.00163952323083
141, -25.69041644694197
142, -27.483057663335707
143, -21.80383703773512
144, -23.07179991798772
145, -26.377412086324522
146, -26.564078486907025
147, -25.040073475003258
148, -31.060878947172643
149, -28.655441619478893
150, -33.416044906381494
151, -40.09749847205873
152, -25.940965639293296
153, -22.390951467174133
154, -45.82138033403074
155, -25.782172492279685
156, -27.60529586496179
157, -25.05121651595227
158, -36.75605609376358
159, -45.76764301327416
160, -28.52882965538451
161, -16.48846327121995
162, -32.89611488130165
163, -25.46953551065657
164, -28.035675570954147
165, -64.4843922920961
166, -30.04354118521573
167, -29.44346367708488
168, -23.666702161222194
169, -26.43378280168314
170, -31.652353010374938
171, -48.57028875223561
172, -22.911021328618382
173, -30.679093685401348
174, -32.01173390851156
