episode, reward
0, -636.1005726697537
1, -212.91775776666992
2, -311.8179286959099
3, -494.47878990926546
4, -451.51198743683733
5, -216.46630560027236
6, -204.4920648460557
7, -385.541036493951
8, -114.49539673652556
9, -349.0746263717377
10, -347.1278743046657
11, -122.18198414651664
12, -115.71578665928902
13, -135.9196863932719
14, -86.27949815362395
15, -173.2644449233212
16, -111.51384006189178
17, -151.12256470059197
18, -147.54926352929536
19, -201.2182363939968
20, -179.7251167066873
21, -205.2109903627609
22, -100.09802061860043
23, -110.74678544848913
24, -107.10470574860025
25, -110.9789525962375
26, -105.4730482892867
27, -96.34514815044022
28, -78.88192009246058
29, -101.45243510269589
30, -195.64212087399937
31, -109.64215214445841
32, -132.65810521153395
33, -85.08101050027906
34, -86.64273469345805
35, -80.61655812296996
36, -103.061138160828
37, -398.40451430199954
38, -147.80920012309113
39, -111.79213384047702
40, -68.97338632480984
41, -73.35717631664377
42, -151.33877275503406
43, -78.29826608585063
44, -113.90212842746956
45, -88.8617068979029
46, -93.72759629304608
47, -60.57675680606029
48, -71.90861827026622
49, -114.45529567773202
50, -91.48209765023368
51, -66.8674742416916
52, -76.10578084352709
53, -107.48214336089649
54, -73.55044171170292
55, -92.33919649786719
56, -110.13636420229255
57, -99.00991066316496
58, -85.44247373333386
59, -102.23449194486777
60, -58.45959194953731
61, -66.60428845334752
62, -56.815949793867766
63, -98.66646258148243
64, -88.52451993540218
65, -77.98243044314762
66, -62.53185358310483
67, -60.39070607427455
68, -68.01514672493329
69, -89.74714453319405
70, -74.86178616917438
71, -59.372561194409556
72, -84.55811576463061
73, -70.14675506498435
74, -60.3080657254411
75, -73.46196322582277
76, -73.85032419159658
77, -155.74589865491026
78, -101.96911324068827
79, -156.24184145335568
80, -97.79926675053385
81, -54.52293595777233
82, -77.77630620396953
83, -63.9781670244476
84, -85.04664983051421
85, -74.14302578787552
86, -58.22249037513626
87, -61.96796271931392
88, -58.969005686977205
89, -72.36210841624283
90, -60.23572592247233
91, -72.46598761441939
92, -88.38767720891262
93, -53.26203019716031
94, -66.84520779877758
95, -53.29851721059484
96, -55.45853847728828
97, -49.659935807310184
98, -46.37663281008425
99, -68.02532118780066
100, -107.3178613011759
101, -73.07250563058537
102, -63.02204992777981
103, -74.85140816614953
104, -53.94353713780247
105, -51.477129801741846
106, -56.5990091252942
107, -67.58226333601924
108, -54.91478730752927
109, -92.55807713404367
110, -53.05807057612537
111, -53.46514970875626
112, -60.402279087030436
113, -73.78373598805857
114, -73.13217502237448
115, -62.40270648712226
116, -68.26147634857517
117, -70.23536355844006
118, -65.97296188066798
119, -46.72774123978371
120, -55.24070651020896
121, -58.96663757129849
122, -63.06626669252239
123, -50.99024027222835
124, -61.702611500987565
125, -60.967316502143646
126, -49.28401877622129
127, -49.712198427908284
128, -32.40922490041179
129, -63.78449478820034
130, -71.42222572597692
131, -75.5961929182503
132, -96.51575295933169
133, -60.71367173433647
134, -32.35292695019316
135, -48.90820098105981
136, -56.65664007102932
137, -45.06542259413511
138, -77.32268805395174
139, -49.11588968682673
140, -45.663679765279866
141, -46.50462579114811
142, -49.3166330580309
143, -42.82699710399409
144, -78.27070386845557
145, -80.14540355753617
146, -51.5227910703594
147, -81.87083561124201
148, -58.8240151555204
149, -48.686417495124495
150, -58.95472444898533
151, -38.928406476188584
152, -57.51219229744561
153, -56.76453227030843
154, -45.12689173201508
155, -70.18949990358374
156, -61.97829107813317
157, -49.93709096496434
158, -59.97314473014033
159, -61.34811701966541
160, -66.21036658747236
161, -72.04184431906539
162, -52.11583463095313
163, -56.40142813157939
164, -75.17460643810911
165, -52.87274867444128
166, -62.433733405836115
167, -84.42919048418415
168, -82.69981754890507
169, -34.0280141215966
170, -48.558752549056074
171, -52.54935577030455
172, -54.58945043073564
173, -69.9469576681499
174, -53.08702535528245
175, -56.01408744130349
176, -56.900575995021654
177, -58.488582234417024
178, -42.01636637201443
179, -46.5985321019071
180, -48.90592562695219
181, -50.030513648424794
182, -48.84303159728762
183, -64.34604103751104
184, -43.668630377722394
185, -48.47137017512499
186, -56.974452851098135
187, -51.05508161024113
188, -53.06141961795304
189, -49.26675096905129
190, -55.18522170448874
191, -57.452339005733435
192, -38.91090638214135
193, -57.119908995381664
194, -58.485829165811616
195, -59.664810636415105
196, -52.320984697161336
197, -61.472013930061266
198, -55.71253521187769
199, -60.53524311522133
200, -52.10003907783852
201, -49.25856429914009
202, -56.79974768059216
203, -58.03995484558801
204, -61.09685278594199
205, -48.907405475287874
206, -80.1075009328609
207, -52.95758382271328
