episode, reward
0, -319.9544475515283
1, -176.14991296370977
2, -339.9241929636372
3, -59.42229219220769
4, -186.3193494862735
5, -271.020336748588
6, -825.2838412032905
7, -132.06591699230574
8, -84.27383074385476
9, -129.33736649542695
10, -147.8247783439739
11, -88.8004434861788
12, -80.69049184175822
13, -196.90016700890922
14, -197.63483764333088
15, -147.77075448650336
16, -99.5999656165372
17, -82.47516292902581
18, -82.43715441837918
19, -128.00249329796776
20, -97.66665444008613
21, -151.88785202832418
22, -140.64186581989782
23, -59.163766812793114
24, -138.73163533463497
25, -42.223725450179366
26, -131.3282095797878
27, -143.8185007447869
28, -167.13318346125965
29, -118.60334378461525
30, -91.88236197466429
31, -94.55323674067203
32, -176.5159517254613
33, -106.37566456258327
34, -74.726240884322
35, -106.65992103654867
36, -48.160615884445185
37, -47.67789504722657
38, -83.3023427768814
39, -105.77922873868273
40, -127.4641822037596
41, -73.42818642431956
42, -67.23237531643407
43, -284.9287642183261
44, -93.67802390461276
45, -87.88003207741683
46, -100.99872923288731
47, -78.03369354809381
48, -107.89394457288421
49, -48.1711479590499
50, -111.51813075984633
51, -145.4644358137991
52, -101.71850880916867
53, -75.37738168503589
54, -112.9429639222225
55, -75.86490770062693
56, -54.46255636064434
57, -44.70774714158723
58, -65.82548491351612
59, -80.56949127720748
60, -68.493758058655
61, -105.17623288916218
62, -54.60203735559415
63, -195.80560567381485
64, -112.14975030891827
65, -77.34544854408695
66, -84.4507818933883
67, -63.732302035070845
68, -83.86804590814056
69, -55.82081870368613
70, -70.4513114266287
71, -74.5191093422957
72, -116.77040897492657
73, -64.90374212976435
74, -67.67846281887117
75, -64.70197414878673
76, -49.07657429270712
77, -71.10028962075364
78, -86.4022221349969
79, -85.1024902346867
80, -73.23743623878387
81, -46.37486941745849
82, -57.63209709658912
83, -99.29822483404178
84, -59.734837568506784
85, -58.14443688732412
86, -67.50943046344517
87, -67.55678041362188
88, -83.27424304214733
89, -72.89094781096739
90, -29.344538441170794
91, -85.90601894252723
92, -65.8183542857202
93, -60.99381731809491
94, -54.819579654680396
95, -74.02752023084712
96, -73.04602102179669
97, -85.37575135361087
98, -75.43057673003405
99, -86.90896344617222
100, -105.29697707982763
101, -51.142656141877055
102, -45.694300916208775
103, -101.20979826567965
104, -83.6594338167635
105, -49.69360476042961
106, -56.186080274345244
107, -63.573820345863375
108, -80.64719976375405
109, -58.015920510424024
110, -72.40531960419577
111, -82.40969740203067
112, -88.74720977527872
113, -81.59797374999903
114, -67.10295673012693
115, -50.57234173406362
116, -21.350412418282346
117, -117.37021431243443
118, -76.18555433526636
119, -52.88646872114731
120, -66.77165187272966
121, -70.29718887310918
122, -34.38509901151843
123, -48.66344846881836
124, -50.89002663491799
125, -65.87232809670405
126, -51.39413280051531
127, -17.051672678872713
128, -76.29214856587058
129, -59.30137379107218
130, -91.14216187872151
131, -64.49671795868753
132, -50.32103631052156
133, -78.32874601749353
134, -48.988044197916516
135, -59.64234238436579
136, -65.52512396074982
137, -58.39728154496565
138, -99.66816081102188
139, -80.98316765291501
140, -74.90830568023576
141, -63.97237963441197
142, -93.70429704882753
143, -73.82027910311601
144, -26.519689962226373
145, -82.9124491851379
146, -58.616466711765725
147, -29.730628027481323
148, -99.54657389381214
149, -81.40678679952143
150, -60.48187049160831
151, -23.768318660464494
152, -62.27599765688956
153, -96.75918867315522
154, -63.84788155481718
155, -77.67731311426759
156, -53.17642246559033
157, -59.98056495049927
158, -71.22704429177784
159, -52.50189426133865
160, -227.07854992498713
161, -96.73567523781904
162, -68.00367123158594
163, -87.30907726366003
164, -42.203117587200396
165, -49.668454542805925
166, -70.32604805784749
167, -57.05011322880026
168, -79.08431544359195
169, -83.76134027355374
170, -54.86961444098244
171, -53.95307411125829
172, -66.54030518712459
173, -66.63994698977058
174, -76.83437014119293
175, -39.06953550824667
176, -52.05989265960305
177, -51.68739176237057
178, -42.46800023458995
179, -83.16567629405151
180, -64.26274958008861
181, -39.00235736895819
182, -71.50931769228046
183, -53.27803403271572
184, -71.12570136950443
185, -54.48444556283691
186, -74.64456408639242
187, -74.39152940659054
188, -65.567265695523
189, -73.00449979421558
190, -46.42204508575183
191, -59.504470733830566
192, -64.06610639716513
193, -73.58854136932226
194, -74.96438651626089
195, -59.775972935525786
196, -87.6926475424606
197, -42.59276063643718
198, -105.03059109467475
199, -40.50740217851983
200, -74.15147076888573
201, -62.288645142617796
202, -51.87248939902226
203, -72.8388113301927
204, -64.9996141737655
205, -70.59283582110238
206, -45.77393140084111
207, -86.58026453423592
208, -46.46073822460235
209, -69.21161599320996
210, -51.844552694642836
211, -57.20869472744154
212, -38.140555369257214
213, -81.03580137537601
214, -69.87474585445001
215, -66.95845950141631
216, -41.764104776682316
217, -35.77587110104258
218, -82.11119544012766
219, -98.14993060925954
220, -51.43475456705534
221, -89.53909403556278
222, -58.411207612919014
223, -57.74974012392671
224, -53.51426683602796
225, -92.41220400048954
226, -119.54210699834451
227, -37.59646858311703
228, -72.75337005354034
229, -45.253446216768
230, -40.43721136424401
231, -88.9194258386438
232, -78.32739747930931
233, -17.01753153411579
234, -55.1607616536637
235, -56.08443174025792
236, -79.80933817240792
237, -83.96050260563328
238, -52.41930614058143
239, -97.89714902768623
240, -123.1925944390975
241, -64.73936702255169
242, -76.67864507110272
243, -85.2532762081453
244, -90.0171683230412
245, -46.74238217545341
246, -52.573027083235495
247, -56.676942631260395
248, -24.144594429480115
249, -39.04923212656858
250, -53.211440206102985
251, -41.206792483341545
252, -96.77227704860023
253, -71.44798732480005
254, -46.344849798895936
255, -69.82778129357008
256, -71.43115380786385
257, -67.9074578071754
258, -74.73704819924947
259, -43.498903926443425
260, -72.71513193171293
261, -81.26129981205983
262, -168.82919797307392
263, -64.0904607617299
264, -120.75789777149843
265, -41.198739924337296
266, -52.73990608891543
267, -57.213427113429255
268, -107.71697970701277
269, -49.71180845537912
270, -45.514785752716904
271, -56.45222058673191
272, -184.4916149567132
273, -54.09491989043181
274, -91.99915294003532
275, -87.49342308274619
276, -65.27364137080454
277, -37.134010848865366
278, -74.87792690905721
279, -64.65255976146112
280, -55.02585148377813
281, -83.4386009510794
282, -141.58475582460682
283, -35.64025538133495
284, -58.86838558830296
285, -89.4287030260004
286, -60.77224099422271
287, -57.75029336941017
288, -155.0606119169994
289, -36.738705022241646
290, -105.24674630425127
291, -40.69453488144856
292, -42.124296915352986
293, -49.27619035402894
294, -98.25540966591119
295, -37.20604277252262
296, -83.97895736217939
297, -65.39535452364281
298, -52.71122153027164
299, -45.16574520764268
300, -21.29044160504045
301, -36.56744612836884
302, -68.40442774637512
303, -55.962178348300974
304, -45.870374040413914
305, -27.537485465277623
306, -65.05284751428097
307, -23.28074555611327
308, -49.71676763977859
309, -64.87740055144991
310, -104.67479103043745
311, -49.79860967178383
312, -73.62200554033245
313, -158.0871485497438
314, -37.47128784767016
315, -27.345002828641604
316, -72.93600345055712
